from,to,value,
ip_2_1,ip_2_2,"’",
ip_2_27,ip_2_28,"’",
ip_2_64,ip_2_65,",",
ip_2_121,ip_2_122,".",
ip_2_142,ip_2_143,",",
ip_2_158,ip_2_159,"’",
ip_2_201,ip_2_202,".",
ip_2_203,ip_2_204,"’",
ip_2_218,ip_2_219,",",
ip_2_251,ip_2_252,"’",
ip_2_256,ip_2_257,".",
ip_2_290,ip_2_291,",",
ip_2_314,ip_2_315,"’",
ip_2_327,ip_2_328,".",
ip_2_363,ip_2_364,",",
ip_2_372,ip_2_373,"’",
ip_2_404,ip_2_405,"’",
ip_2_410,ip_2_411,"-",
ip_2_426,ip_2_427,",",
ip_2_463,ip_2_464,",",
ip_2_472,ip_2_473,",",
ip_2_496,ip_2_497,".",
ip_2_526,ip_2_527,"-",
ip_2_545,ip_2_546,":",
ip_2_598,ip_2_599,".",
ip_2_635,ip_2_636,"’",
ip_2_640,ip_2_641,",",
ip_2_660,ip_2_661,"’",
ip_2_689,ip_2_690,",",
ip_2_711,ip_2_712,",",
ip_2_727,ip_2_728,"-",
ip_2_762,ip_2_763,"-",
ip_2_775,ip_2_776,".",
ip_2_819,ip_2_820,",",
ip_2_871,ip_2_872,".",
ip_2_883,ip_2_884,"’",
ip_2_924,ip_2_925,"’",
ip_2_945,ip_2_946,",",
ip_2_995,ip_2_996,".",
ip_2_999,ip_2_1000,"’",
ip_2_1025,ip_2_1026,"’",
ip_2_1043,ip_2_1044,"’",
ip_2_1063,ip_2_1064,".",
ip_2_1133,ip_2_1134,",",
ip_2_1148,ip_2_1149,"-",
ip_2_1198,ip_2_1199,"’",
ip_2_1241,ip_2_1242,"’",
ip_2_1255,ip_2_1256,".",
ip_2_1316,ip_2_1317,"-",
ip_2_1356,ip_2_1357,".",
ip_2_1360,ip_2_1361,"’",
ip_2_1384,ip_2_1385,",",
ip_2_1429,ip_2_1430,"’",
ip_2_1446,ip_2_1447,".",
ip_2_1448,ip_2_1449,"“",
ip_2_1491,ip_2_1492,",",
ip_2_1492,ip_2_1493,"”",
ip_2_1502,ip_2_1503,".",
ip_2_1538,ip_2_1539,",",
ip_2_1564,ip_2_1565,",",
ip_2_1584,ip_2_1585,".",
ip_2_1642,ip_2_1643,".",
ip_2_1644,ip_2_1645,"“",
ip_2_1663,ip_2_1664,"’",
ip_2_1677,ip_2_1678,",",
ip_2_1678,ip_2_1679,"”",
ip_2_1688,ip_2_1689,",",
ip_2_1690,ip_2_1691,"“",
ip_2_1713,ip_2_1714,".",
ip_2_1715,ip_2_1716,"’",
ip_2_1737,ip_2_1738,"’",
ip_2_1755,ip_2_1756,"’",
ip_2_1767,ip_2_1768,"-",
ip_2_1777,ip_2_1778,"-",
ip_2_1784,ip_2_1785,".",
ip_2_1785,ip_2_1786,"”",
ip_2_1813,ip_2_1814,"’",
ip_2_1836,ip_2_1837,".",
ip_2_1838,ip_2_1839,"“",
ip_2_1839,ip_2_1840,"’",
ip_2_1868,ip_2_1869,"-",
ip_2_1877,ip_2_1878,"?",
ip_2_1878,ip_2_1879,"”",
ip_2_1892,ip_2_1893,".",
ip_2_1894,ip_2_1895,"’",
ip_2_1939,ip_2_1940,".",
ip_2_2009,ip_2_2010,",",
ip_2_2051,ip_2_2052,"’",
ip_2_2068,ip_2_2069,"’",
ip_2_2108,ip_2_2109,".",
ip_2_2110,ip_2_2111,"“",
ip_2_2134,ip_2_2135,"’",
ip_2_2139,ip_2_2140,"?",
ip_2_2140,ip_2_2141,"”",
ip_2_2144,ip_2_2145,"’",
ip_2_2169,ip_2_2170,".",
ip_2_2172,ip_2_2173,"“",
ip_2_2205,ip_2_2206,",",
ip_2_2206,ip_2_2207,"”",
ip_2_2216,ip_2_2217,".",
ip_2_2218,ip_2_2219,"“",
ip_2_2249,ip_2_2250,".",
ip_2_2250,ip_2_2251,"”",
ip_2_2265,ip_2_2266,"-",
ip_2_2297,ip_2_2298,".",
ip_2_2299,ip_2_2300,"’",
ip_2_2334,ip_2_2335,".",
ip_2_2361,ip_2_2362,"’",
ip_2_2394,ip_2_2395,",",
ip_2_2436,ip_2_2437,"’",
ip_2_2467,ip_2_2468,",",
ip_2_2501,ip_2_2502,".",
ip_2_2547,ip_2_2548,".",
ip_2_2549,ip_2_2550,"“",
ip_2_2576,ip_2_2577,",",
ip_2_2577,ip_2_2578,"”",
ip_2_2586,ip_2_2587,".",
