from,to,value,
ip_2_2,ip_2_3,horizontal,
ip_2_8,ip_2_9,horizontal,
ip_2_13,ip_2_14,horizontal,
ip_2_17,ip_2_18,horizontal,
ip_2_25,ip_2_26,vertical,
ip_2_26,ip_2_27,vertical,
ip_2_29,ip_2_30,horizontal,
ip_2_31,ip_2_32,horizontal,
ip_2_37,ip_2_38,horizontal,
ip_2_42,ip_2_43,horizontal,
ip_2_44,ip_2_45,horizontal,
ip_2_48,ip_2_49,horizontal,
ip_2_52,ip_2_53,horizontal,
ip_2_56,ip_2_57,horizontal,
ip_2_65,ip_2_66,horizontal,
ip_2_68,ip_2_69,horizontal,
ip_2_71,ip_2_72,horizontal,
ip_2_75,ip_2_76,horizontal,
ip_2_80,ip_2_81,horizontal,
ip_2_88,ip_2_89,horizontal,
ip_2_93,ip_2_94,horizontal,
ip_2_99,ip_2_100,horizontal,
ip_2_106,ip_2_107,horizontal,
ip_2_110,ip_2_111,horizontal,
ip_2_112,ip_2_113,horizontal,
ip_2_122,ip_2_123,horizontal,
ip_2_126,ip_2_127,horizontal,
ip_2_131,ip_2_132,horizontal,
ip_2_137,ip_2_138,horizontal,
ip_2_143,ip_2_144,horizontal,
ip_2_147,ip_2_148,horizontal,
ip_2_154,ip_2_155,horizontal,
ip_2_156,ip_2_157,horizontal,
ip_2_159,ip_2_160,horizontal,
ip_2_163,ip_2_164,horizontal,
ip_2_170,ip_2_171,horizontal,
ip_2_178,ip_2_179,horizontal,
ip_2_182,ip_2_183,horizontal,
ip_2_185,ip_2_186,horizontal,
ip_2_191,ip_2_192,horizontal,
ip_2_193,ip_2_194,horizontal,
ip_2_202,ip_2_203,horizontal,
ip_2_205,ip_2_206,horizontal,
ip_2_207,ip_2_208,horizontal,
ip_2_213,ip_2_214,horizontal,
ip_2_219,ip_2_220,horizontal,
ip_2_223,ip_2_224,horizontal,
ip_2_228,ip_2_229,horizontal,
ip_2_234,ip_2_235,horizontal,
ip_2_246,ip_2_247,horizontal,
ip_2_248,ip_2_249,horizontal,
ip_2_252,ip_2_253,horizontal,
ip_2_257,ip_2_258,horizontal,
ip_2_261,ip_2_262,horizontal,
ip_2_269,ip_2_270,horizontal,
ip_2_271,ip_2_272,horizontal,
ip_2_279,ip_2_280,horizontal,
ip_2_282,ip_2_283,horizontal,
ip_2_291,ip_2_292,horizontal,
ip_2_295,ip_2_296,horizontal,
ip_2_299,ip_2_300,horizontal,
ip_2_304,ip_2_305,horizontal,
ip_2_307,ip_2_308,horizontal,
ip_2_312,ip_2_313,horizontal,
ip_2_315,ip_2_316,horizontal,
ip_2_323,ip_2_324,horizontal,
ip_2_328,ip_2_329,horizontal,
ip_2_332,ip_2_333,horizontal,
ip_2_337,ip_2_338,horizontal,
ip_2_339,ip_2_340,horizontal,
ip_2_348,ip_2_349,horizontal,
ip_2_352,ip_2_353,horizontal,
ip_2_364,ip_2_365,horizontal,
ip_2_369,ip_2_370,horizontal,
ip_2_377,ip_2_378,horizontal,
ip_2_381,ip_2_382,horizontal,
ip_2_383,ip_2_384,horizontal,
ip_2_388,ip_2_389,horizontal,
ip_2_392,ip_2_393,horizontal,
ip_2_399,ip_2_400,horizontal,
ip_2_402,ip_2_403,horizontal,
ip_2_405,ip_2_406,horizontal,
ip_2_416,ip_2_417,horizontal,
ip_2_419,ip_2_420,horizontal,
ip_2_427,ip_2_428,horizontal,
ip_2_431,ip_2_432,horizontal,
ip_2_435,ip_2_436,horizontal,
ip_2_437,ip_2_438,horizontal,
ip_2_441,ip_2_442,horizontal,
ip_2_452,ip_2_453,horizontal,
ip_2_456,ip_2_457,horizontal,
ip_2_464,ip_2_465,horizontal,
ip_2_466,ip_2_467,horizontal,
ip_2_473,ip_2_474,horizontal,
ip_2_478,ip_2_479,horizontal,
ip_2_482,ip_2_483,horizontal,
ip_2_489,ip_2_490,horizontal,
ip_2_491,ip_2_492,horizontal,
ip_2_497,ip_2_498,horizontal,
ip_2_501,ip_2_502,horizontal,
ip_2_506,ip_2_507,horizontal,
ip_2_508,ip_2_509,horizontal,
ip_2_511,ip_2_512,horizontal,
ip_2_520,ip_2_521,horizontal,
ip_2_524,ip_2_525,horizontal,
ip_2_534,ip_2_535,horizontal,
ip_2_538,ip_2_539,horizontal,
ip_2_541,ip_2_542,horizontal,
ip_2_546,ip_2_547,horizontal,
ip_2_552,ip_2_553,horizontal,
ip_2_559,ip_2_560,horizontal,
ip_2_564,ip_2_565,horizontal,
ip_2_569,ip_2_570,horizontal,
ip_2_576,ip_2_577,horizontal,
ip_2_580,ip_2_581,horizontal,
ip_2_585,ip_2_586,horizontal,
ip_2_588,ip_2_589,horizontal,
ip_2_599,ip_2_600,vertical,
ip_2_600,ip_2_601,vertical,
ip_2_604,ip_2_605,horizontal,
ip_2_611,ip_2_612,horizontal,
ip_2_616,ip_2_617,horizontal,
ip_2_625,ip_2_626,horizontal,
ip_2_630,ip_2_631,horizontal,
ip_2_632,ip_2_633,horizontal,
ip_2_641,ip_2_642,horizontal,
ip_2_646,ip_2_647,horizontal,
ip_2_650,ip_2_651,horizontal,
ip_2_652,ip_2_653,horizontal,
ip_2_656,ip_2_657,horizontal,
ip_2_658,ip_2_659,horizontal,
ip_2_661,ip_2_662,horizontal,
ip_2_669,ip_2_670,horizontal,
ip_2_673,ip_2_674,horizontal,
ip_2_679,ip_2_680,horizontal,
ip_2_683,ip_2_684,horizontal,
ip_2_690,ip_2_691,horizontal,
ip_2_698,ip_2_699,horizontal,
ip_2_702,ip_2_703,horizontal,
ip_2_704,ip_2_705,horizontal,
ip_2_712,ip_2_713,horizontal,
ip_2_716,ip_2_717,horizontal,
ip_2_720,ip_2_721,horizontal,
ip_2_723,ip_2_724,horizontal,
ip_2_733,ip_2_734,horizontal,
ip_2_736,ip_2_737,horizontal,
ip_2_743,ip_2_744,horizontal,
ip_2_748,ip_2_749,horizontal,
ip_2_753,ip_2_754,horizontal,
ip_2_757,ip_2_758,horizontal,
ip_2_760,ip_2_761,horizontal,
ip_2_770,ip_2_771,horizontal,
ip_2_776,ip_2_777,horizontal,
ip_2_781,ip_2_782,horizontal,
ip_2_783,ip_2_784,horizontal,
ip_2_791,ip_2_792,horizontal,
ip_2_796,ip_2_797,horizontal,
ip_2_800,ip_2_801,horizontal,
ip_2_809,ip_2_810,horizontal,
ip_2_812,ip_2_813,horizontal,
ip_2_820,ip_2_821,horizontal,
ip_2_824,ip_2_825,horizontal,
ip_2_828,ip_2_829,horizontal,
ip_2_837,ip_2_838,horizontal,
ip_2_840,ip_2_841,horizontal,
ip_2_847,ip_2_848,horizontal,
ip_2_853,ip_2_854,horizontal,
ip_2_861,ip_2_862,horizontal,
ip_2_865,ip_2_866,horizontal,
ip_2_868,ip_2_869,horizontal,
ip_2_872,ip_2_873,horizontal,
ip_2_879,ip_2_880,horizontal,
ip_2_881,ip_2_882,horizontal,
ip_2_884,ip_2_885,horizontal,
ip_2_888,ip_2_889,horizontal,
ip_2_892,ip_2_893,horizontal,
