from,to,value,
ip_5_2,ip_5_3,horizontal,
ip_5_8,ip_5_9,vertical,
ip_5_9,ip_5_10,vertical,
ip_5_16,ip_5_17,horizontal,
ip_5_25,ip_5_26,horizontal,
ip_5_33,ip_5_34,horizontal,
ip_5_40,ip_5_41,horizontal,
ip_5_56,ip_5_57,horizontal,
ip_5_62,ip_5_63,horizontal,
ip_5_64,ip_5_65,horizontal,
ip_5_73,ip_5_74,horizontal,
ip_5_75,ip_5_76,horizontal,
ip_5_83,ip_5_84,horizontal,
ip_5_86,ip_5_87,horizontal,
ip_5_90,ip_5_91,horizontal,
ip_5_97,ip_5_98,horizontal,
ip_5_101,ip_5_102,horizontal,
ip_5_105,ip_5_106,horizontal,
ip_5_120,ip_5_121,horizontal,
ip_5_124,ip_5_125,horizontal,
ip_5_127,ip_5_128,horizontal,
ip_5_137,ip_5_138,horizontal,
ip_5_148,ip_5_149,horizontal,
ip_5_162,ip_5_163,horizontal,
ip_5_175,ip_5_176,horizontal,
ip_5_180,ip_5_181,horizontal,
ip_5_193,ip_5_194,horizontal,
ip_5_196,ip_5_197,horizontal,
ip_5_202,ip_5_203,horizontal,
ip_5_206,ip_5_207,horizontal,
ip_5_209,ip_5_210,horizontal,
ip_5_219,ip_5_220,horizontal,
ip_5_228,ip_5_229,horizontal,
ip_5_231,ip_5_232,horizontal,
ip_5_239,ip_5_240,horizontal,
ip_5_241,ip_5_242,horizontal,
ip_5_249,ip_5_250,horizontal,
ip_5_252,ip_5_253,horizontal,
ip_5_261,ip_5_262,horizontal,
ip_5_266,ip_5_267,horizontal,
ip_5_270,ip_5_271,horizontal,
ip_5_273,ip_5_274,horizontal,
ip_5_283,ip_5_284,horizontal,
ip_5_286,ip_5_287,horizontal,
ip_5_297,ip_5_298,horizontal,
ip_5_301,ip_5_302,horizontal,
ip_5_304,ip_5_305,horizontal,
ip_5_311,ip_5_312,horizontal,
ip_5_313,ip_5_314,horizontal,
ip_5_319,ip_5_320,horizontal,
ip_5_321,ip_5_322,horizontal,
ip_5_329,ip_5_330,horizontal,
ip_5_335,ip_5_336,horizontal,
ip_5_345,ip_5_346,horizontal,
ip_5_348,ip_5_349,horizontal,
ip_5_354,ip_5_355,horizontal,
ip_5_358,ip_5_359,horizontal,
ip_5_362,ip_5_363,horizontal,
ip_5_365,ip_5_366,horizontal,
ip_5_372,ip_5_373,horizontal,
ip_5_375,ip_5_376,horizontal,
ip_5_377,ip_5_378,horizontal,
ip_5_379,ip_5_380,horizontal,
