from,to,label,value,
ip_1_2605,ip_1_2606,PUNCTUATION,":",
ip_1_2607,ip_1_2608,PUNCTUATION,"?",
ip_1_2626,ip_1_2627,PUNCTUATION,"-",
ip_1_2655,ip_1_2656,PUNCTUATION,"?",
ip_1_2696,ip_1_2697,PUNCTUATION,"-",
ip_1_2717,ip_1_2718,PUNCTUATION,"?",
ip_1_2783,ip_1_2784,PUNCTUATION,".",
ip_1_2796,ip_1_2797,PUNCTUATION,"’",
ip_1_2809,ip_1_2810,PUNCTUATION,"-",
ip_1_2820,ip_1_2821,PUNCTUATION,"-",
ip_1_2853,ip_1_2854,PUNCTUATION,"-",
ip_1_2859,ip_1_2860,PUNCTUATION,"-",
ip_1_2880,ip_1_2881,PUNCTUATION,".",
ip_1_2881,ip_1_2882,PUNCTUATION,"”",
ip_1_2903,ip_1_2904,PUNCTUATION,"-",
ip_1_2916,ip_1_2917,PUNCTUATION,"’",
ip_1_2966,ip_1_2967,PUNCTUATION,",",
ip_1_2988,ip_1_2989,PUNCTUATION,"’",
ip_1_3008,ip_1_3009,PUNCTUATION,",",
ip_1_3032,ip_1_3033,PUNCTUATION,",",
ip_1_3056,ip_1_3057,PUNCTUATION,".",
ip_1_3058,ip_1_3059,PUNCTUATION,"“",
ip_1_3080,ip_1_3081,PUNCTUATION,",",
ip_1_3091,ip_1_3092,PUNCTUATION,",",
ip_1_3092,ip_1_3093,PUNCTUATION,"”",
ip_1_3102,ip_1_3103,PUNCTUATION,".",
ip_1_3114,ip_1_3115,PUNCTUATION,"’",
ip_1_3129,ip_1_3130,PUNCTUATION,",",
ip_1_3138,ip_1_3139,PUNCTUATION,"’",
ip_1_3157,ip_1_3158,PUNCTUATION,":",
ip_1_3159,ip_1_3160,PUNCTUATION,"“",
ip_1_3182,ip_1_3183,PUNCTUATION,"-",
ip_1_3185,ip_1_3186,PUNCTUATION,".",
ip_1_3186,ip_1_3187,PUNCTUATION,"”",
ip_1_3199,ip_1_3200,PUNCTUATION,"’",
ip_1_3234,ip_1_3235,PUNCTUATION,"-",
ip_1_3248,ip_1_3249,PUNCTUATION,".",
ip_1_3250,ip_1_3251,PUNCTUATION,"“",
ip_1_3278,ip_1_3279,PUNCTUATION,"-",
ip_1_3282,ip_1_3283,PUNCTUATION,",",
ip_1_3283,ip_1_3284,PUNCTUATION,"”",
ip_1_3293,ip_1_3294,PUNCTUATION,".",
ip_1_3339,ip_1_3340,PUNCTUATION,"’",
ip_1_3386,ip_1_3387,PUNCTUATION,".",
ip_1_3389,ip_1_3390,PUNCTUATION,"“",
ip_1_3399,ip_1_3400,PUNCTUATION,"’",
ip_1_3424,ip_1_3425,PUNCTUATION,"-",
ip_1_3435,ip_1_3436,PUNCTUATION,",",
ip_1_3436,ip_1_3437,PUNCTUATION,"”",
ip_1_3446,ip_1_3447,PUNCTUATION,",",
ip_1_3448,ip_1_3449,PUNCTUATION,"“",
ip_1_3487,ip_1_3488,PUNCTUATION,",",
ip_1_3509,ip_1_3510,PUNCTUATION,".",
ip_1_3510,ip_1_3511,PUNCTUATION,"”",
ip_1_3513,ip_1_3514,PUNCTUATION,"“",
ip_1_3550,ip_1_3551,PUNCTUATION,",",
ip_1_3551,ip_1_3552,PUNCTUATION,"”",
ip_1_3563,ip_1_3564,PUNCTUATION,".",
ip_1_3565,ip_1_3566,PUNCTUATION,"“",
ip_1_3598,ip_1_3599,PUNCTUATION,".",
ip_1_3642,ip_1_3643,PUNCTUATION,".",
ip_1_3643,ip_1_3644,PUNCTUATION,"”",
ip_1_3740,ip_1_3741,PUNCTUATION,".",
ip_1_3743,ip_1_3744,PUNCTUATION,"’",
ip_1_3785,ip_1_3786,PUNCTUATION,"’",
ip_1_3796,ip_1_3797,PUNCTUATION,".",
ip_1_3798,ip_1_3799,PUNCTUATION,"’",
ip_1_3807,ip_1_3808,PUNCTUATION,"-",
ip_1_3819,ip_1_3820,PUNCTUATION,"’",
ip_1_3835,ip_1_3836,PUNCTUATION,",",
ip_1_3858,ip_1_3859,PUNCTUATION,"-",
ip_1_3872,ip_1_3873,PUNCTUATION,"’",
ip_1_3882,ip_1_3883,PUNCTUATION,"-",
ip_1_3907,ip_1_3908,PUNCTUATION,".",
ip_1_3946,ip_1_3947,PUNCTUATION,"’",
ip_1_4028,ip_1_4029,PUNCTUATION,"-",
ip_1_4041,ip_1_4042,PUNCTUATION,"’",
ip_1_4054,ip_1_4055,PUNCTUATION,".",
ip_1_4056,ip_1_4057,PUNCTUATION,"’",
ip_1_4105,ip_1_4106,PUNCTUATION,".",
ip_1_4170,ip_1_4171,PUNCTUATION,"’",
ip_1_4207,ip_1_4208,PUNCTUATION,"’",
ip_1_4228,ip_1_4229,PUNCTUATION,"-",
ip_1_4235,ip_1_4236,PUNCTUATION,",",
ip_1_4297,ip_1_4298,PUNCTUATION,"-",
ip_1_4311,ip_1_4312,PUNCTUATION,"’",
ip_1_4332,ip_1_4333,PUNCTUATION,".",
ip_1_4367,ip_1_4368,PUNCTUATION,",",
ip_1_4378,ip_1_4379,PUNCTUATION,":",
ip_1_4380,ip_1_4381,PUNCTUATION,"“",
