from,to,value,case,accent,
ip_1_0,ip_1_1,A,upper,none,
ip_1_3,ip_1_4,C,upper,none,
ip_1_4,ip_1_5,H,lower,none,
ip_1_5,ip_1_6,A,lower,none,
ip_1_6,ip_1_7,O,lower,none,
ip_1_7,ip_1_8,R,lower,none,
ip_1_8,ip_1_9,A,lower,none,
ip_1_10,ip_1_11,D,upper,none,
ip_1_11,ip_1_12,H,lower,none,
ip_1_12,ip_1_13,U,lower,none,
ip_1_13,ip_1_14,B,lower,none,
ip_1_14,ip_1_15,H,lower,none,
ip_1_18,ip_1_19,S,upper,none,
ip_1_20,ip_1_21,E,lower,none,
ip_1_22,ip_1_23,T,upper,none,
ip_1_23,ip_1_24,O,lower,grave,
ip_1_24,ip_1_25,M,lower,none,
ip_1_25,ip_1_26,A,lower,none,
ip_1_26,ip_1_27,S,lower,none,
ip_1_28,ip_1_29,A,lower,none,
ip_1_29,ip_1_30,N,lower,none,
ip_1_31,ip_1_32,A,lower,none,
ip_1_32,ip_1_33,O,lower,none,
ip_1_33,ip_1_34,N,lower,none,
ip_1_35,ip_1_36,C,lower,none,
ip_1_36,ip_1_37,H,lower,none,
ip_1_37,ip_1_38,R,lower,none,
ip_1_38,ip_1_39,O,lower,none,
ip_1_39,ip_1_40,I,lower,none,
ip_1_40,ip_1_41,T,lower,none,
ip_1_41,ip_1_42,E,lower,none,
ip_1_42,ip_1_43,A,lower,none,
ip_1_43,ip_1_44,R,lower,none,
ip_1_45,ip_1_46,A,lower,none,
ip_1_46,ip_1_47,S,lower,none,
ip_1_48,ip_1_49,A,lower,none,
ip_1_49,ip_1_50,I,lower,none,
ip_1_50,ip_1_51,T,lower,none,
ip_1_51,ip_1_52,H,lower,none,
ip_1_52,ip_1_53,N,lower,none,
ip_1_53,ip_1_54,E,lower,none,
ip_1_55,ip_1_56,D,lower,none,
ip_1_56,ip_1_57,H,lower,none,
ip_1_57,ip_1_58,O,lower,none,
ip_1_58,ip_1_59,M,lower,none,
ip_1_59,ip_1_60,H,lower,none,
ip_1_61,ip_1_62,A,lower,none,
ip_1_63,ip_1_64,D,lower,none,
ip_1_64,ip_1_65,H,lower,none,
ip_1_66,ip_1_67,E,lower,grave,
ip_1_67,ip_1_68,I,lower,none,
ip_1_68,ip_1_69,R,lower,none,
ip_1_69,ip_1_70,I,lower,none,
ip_1_70,ip_1_71,C,lower,none,
ip_1_71,ip_1_72,H,lower,none,
ip_1_73,ip_1_74,G,lower,none,
ip_1_74,ip_1_75,U,lower,none,
ip_1_76,ip_1_77,I,lower,none,
ip_1_77,ip_1_78,N,lower,none,
ip_1_78,ip_1_79,B,lower,none,
ip_1_79,ip_1_80,H,lower,none,
