from,to,label,value,
ip_1_2582,ip_1_2583,DIGIT,2,
ip_1_2583,ip_1_2584,DIGIT,1,
ip_1_2606,ip_1_2607,DIGIT,5,
ip_1_3181,ip_1_3182,DIGIT,1,
ip_1_3183,ip_1_3184,DIGIT,1,
ip_1_3184,ip_1_3185,DIGIT,9,

