from,to,value,
ip_3_2,ip_3_3,horizontal,
ip_3_8,ip_3_9,horizontal,
ip_3_16,ip_3_17,vertical,
ip_3_17,ip_3_18,vertical,
ip_3_29,ip_3_30,horizontal,
ip_3_32,ip_3_33,horizontal,
ip_3_40,ip_3_41,horizontal,
ip_3_42,ip_3_43,horizontal,
ip_3_46,ip_3_47,horizontal,
ip_3_51,ip_3_52,horizontal,
ip_3_54,ip_3_55,horizontal,
ip_3_65,ip_3_66,horizontal,
ip_3_69,ip_3_70,horizontal,
ip_3_78,ip_3_79,horizontal,
ip_3_81,ip_3_82,horizontal,
ip_3_88,ip_3_89,horizontal,
ip_3_92,ip_3_93,horizontal,
ip_3_98,ip_3_99,horizontal,
ip_3_102,ip_3_103,horizontal,
ip_3_105,ip_3_106,horizontal,
ip_3_107,ip_3_108,horizontal,
ip_3_112,ip_3_113,horizontal,
ip_3_117,ip_3_118,horizontal,
ip_3_120,ip_3_121,horizontal,
ip_3_132,ip_3_133,horizontal,
ip_3_135,ip_3_136,horizontal,
ip_3_145,ip_3_146,horizontal,
ip_3_149,ip_3_150,horizontal,
ip_3_158,ip_3_159,horizontal,
ip_3_160,ip_3_161,horizontal,
ip_3_166,ip_3_167,horizontal,
ip_3_170,ip_3_171,horizontal,
ip_3_175,ip_3_176,horizontal,
ip_3_180,ip_3_181,horizontal,
ip_3_183,ip_3_184,horizontal,
ip_3_194,ip_3_195,horizontal,
ip_3_197,ip_3_198,horizontal,
ip_3_203,ip_3_204,horizontal,
ip_3_207,ip_3_208,horizontal,
ip_3_212,ip_3_213,horizontal,
ip_3_215,ip_3_216,horizontal,
ip_3_219,ip_3_220,horizontal,
ip_3_223,ip_3_224,horizontal,
ip_3_229,ip_3_230,horizontal,
ip_3_234,ip_3_235,horizontal,
ip_3_236,ip_3_237,horizontal,
ip_3_245,ip_3_246,horizontal,
ip_3_247,ip_3_248,horizontal,
ip_3_257,ip_3_258,horizontal,
ip_3_261,ip_3_262,horizontal,
ip_3_264,ip_3_265,horizontal,
ip_3_269,ip_3_270,horizontal,
ip_3_272,ip_3_273,horizontal,
ip_3_274,ip_3_275,horizontal,
ip_3_278,ip_3_279,horizontal,
ip_3_282,ip_3_283,horizontal,
ip_3_287,ip_3_288,horizontal,
ip_3_292,ip_3_293,horizontal,
ip_3_296,ip_3_297,horizontal,
ip_3_302,ip_3_303,horizontal,
ip_3_307,ip_3_308,horizontal,
ip_3_321,ip_3_322,horizontal,
ip_3_324,ip_3_325,horizontal,
ip_3_329,ip_3_330,horizontal,
ip_3_334,ip_3_335,horizontal,
